commande_id,client_id,date,canal,statut,total_articles_mad,frais_livraison_mad,total_mad,ville_livraison,paiement
CMD-00001,CLI-0023,2026-01-06,whatsapp,livrée,640,45,685,Tanger,à la livraison
CMD-00002,CLI-0067,2026-07-21,whatsapp,en préparation,1190,40,1230,Tanger,à la livraison
CMD-00003,CLI-0056,2026-03-11,whatsapp,en préparation,840,35,875,Marrakech,à la livraison
CMD-00004,CLI-0116,2026-08-14,whatsapp,livrée,300,45,345,Mohammedia,à la livraison
CMD-00005,CLI-0026,2026-01-19,instagram,livrée,310,30,340,Agadir,à la livraison
CMD-00006,CLI-0079,2026-05-09,whatsapp,livrée,1260,25,1285,Oujda,à la livraison
CMD-00007,CLI-0060,2026-03-12,boutique,livrée,300,25,325,Oujda,carte
CMD-00008,CLI-0086,2026-07-24,whatsapp,livrée,1890,40,1930,Salé,carte
CMD-00009,CLI-0036,2026-08-05,whatsapp,annulée,1140,30,1170,Fès,à la livraison
CMD-00010,CLI-0041,2026-08-11,boutique,en préparation,680,35,715,Marrakech,à la livraison
CMD-00011,CLI-0101,2026-08-05,instagram,livrée,310,35,345,Tétouan,à la livraison
CMD-00012,CLI-0019,2026-03-09,boutique,livrée,700,35,735,Fès,carte
CMD-00013,CLI-0035,2026-01-18,instagram,livrée,700,45,745,Rabat,virement
CMD-00014,CLI-0111,2026-02-03,whatsapp,en préparation,1340,35,1375,Kénitra,carte
CMD-00015,CLI-0074,2026-02-11,whatsapp,livrée,2740,40,2780,Agadir,à la livraison
CMD-00016,CLI-0072,2026-01-16,whatsapp,livrée,550,45,595,Salé,virement
CMD-00017,CLI-0095,2026-06-03,whatsapp,panier abandonné,320,40,360,Tétouan,virement
CMD-00018,CLI-0119,2026-01-14,whatsapp,annulée,1250,30,1280,Salé,carte
CMD-00019,CLI-0057,2026-01-18,whatsapp,livrée,310,30,340,Oujda,virement
CMD-00020,CLI-0058,2026-08-22,instagram,panier abandonné,640,40,680,Agadir,à la livraison
CMD-00021,CLI-0069,2026-07-02,whatsapp,livrée,320,25,345,Tétouan,à la livraison
CMD-00022,CLI-0095,2026-04-25,whatsapp,livrée,3200,45,3245,Tétouan,à la livraison
CMD-00023,CLI-0024,2026-03-20,whatsapp,annulée,2320,25,2345,Oujda,à la livraison
CMD-00024,CLI-0064,2026-07-16,instagram,livrée,680,35,715,Tétouan,à la livraison
CMD-00025,CLI-0055,2026-02-16,whatsapp,livrée,100,35,135,Meknès,virement
CMD-00026,CLI-0072,2026-05-20,whatsapp,livrée,680,40,720,Salé,virement
CMD-00027,CLI-0107,2026-08-22,whatsapp,annulée,2100,35,2135,Salé,carte
CMD-00028,CLI-0096,2026-08-02,whatsapp,en préparation,1190,25,1215,Casablanca,carte
CMD-00029,CLI-0089,2026-08-07,whatsapp,livrée,300,45,345,Meknès,à la livraison
CMD-00030,CLI-0084,2026-04-01,boutique,livrée,1410,35,1445,Fès,virement
CMD-00031,CLI-0107,2026-01-12,whatsapp,annulée,700,25,725,Salé,virement
