ref,modele,prix_normal_mad,prix_promo_mad,debut,fin,condition
REF-0074,Pantalon camel,300,240,2026-09-01,2026-09-30,dans la limite des stocks disponibles
REF-0068,Chaussures camel,680,540,2026-09-01,2026-09-30,dans la limite des stocks disponibles
REF-0026,Pantalon camel,550,440,2026-09-01,2026-09-30,dans la limite des stocks disponibles
REF-0038,Veste beige,1140,910,2026-09-01,2026-09-30,dans la limite des stocks disponibles
REF-0050,Caftan bordeaux,1580,1260,2026-09-01,2026-09-30,dans la limite des stocks disponibles
REF-0031,Robe terracotta,740,590,2026-09-01,2026-09-30,dans la limite des stocks disponibles
REF-0056,Chaussures terracotta,960,760,2026-09-01,2026-09-30,dans la limite des stocks disponibles
REF-0021,Caftan beige,1580,1260,2026-09-01,2026-09-30,dans la limite des stocks disponibles
REF-0018,Ceinture vert olive,200,160,2026-09-01,2026-09-30,dans la limite des stocks disponibles
REF-0005,Ceinture bordeaux,320,250,2026-09-01,2026-09-30,dans la limite des stocks disponibles
REF-0012,Blouson vert olive,700,560,2026-09-01,2026-09-30,dans la limite des stocks disponibles
REF-0062,Ceinture ivoire,300,240,2026-09-01,2026-09-30,dans la limite des stocks disponibles
